[config] train=5253 val=540 batch=20 visible_gpus=2 data_parallel=True init_checkpoint=/home/hy/twostagenet/checkpoints_direct_unetpp_13168/best_val.pth resume=
epoch 45/80 | train_loss=0.566691 | train_loss_dolp=0.000838 | train_loss_vector=0.154530 | train_loss_aolp=0.674750 | train_loss_lowfreq=0.229513 | train_loss_edge=0.560920 | train_mean_aolp_reliability=0.265525 | val_loss=1.064502 | val_loss_dolp=0.001132 | val_loss_vector=0.340311 | val_loss_aolp=1.253531 | val_loss_lowfreq=0.333744 | val_loss_edge=0.590877 | val_mean_aolp_reliability=0.272024
epoch 46/80 | train_loss=0.566361 | train_loss_dolp=0.000834 | train_loss_vector=0.154411 | train_loss_aolp=0.674407 | train_loss_lowfreq=0.229331 | train_loss_edge=0.560927 | train_mean_aolp_reliability=0.265525 | val_loss=1.037733 | val_loss_dolp=0.001143 | val_loss_vector=0.329989 | val_loss_aolp=1.221506 | val_loss_lowfreq=0.331681 | val_loss_edge=0.590239 | val_mean_aolp_reliability=0.272024
epoch 47/80 | train_loss=0.566494 | train_loss_dolp=0.000832 | train_loss_vector=0.154460 | train_loss_aolp=0.674605 | train_loss_lowfreq=0.229266 | train_loss_edge=0.560913 | train_mean_aolp_reliability=0.265525 | val_loss=1.019514 | val_loss_dolp=0.001111 | val_loss_vector=0.322751 | val_loss_aolp=1.200187 | val_loss_lowfreq=0.330542 | val_loss_edge=0.588991 | val_mean_aolp_reliability=0.272024
epoch 48/80 | train_loss=0.566382 | train_loss_dolp=0.000829 | train_loss_vector=0.154435 | train_loss_aolp=0.674515 | train_loss_lowfreq=0.229076 | train_loss_edge=0.560907 | train_mean_aolp_reliability=0.265525 | val_loss=1.061132 | val_loss_dolp=0.001114 | val_loss_vector=0.339180 | val_loss_aolp=1.249215 | val_loss_lowfreq=0.333325 | val_loss_edge=0.591306 | val_mean_aolp_reliability=0.272024
epoch 49/80 | train_loss=0.565439 | train_loss_dolp=0.000829 | train_loss_vector=0.154095 | train_loss_aolp=0.673346 | train_loss_lowfreq=0.228984 | train_loss_edge=0.560916 | train_mean_aolp_reliability=0.265525 | val_loss=1.036958 | val_loss_dolp=0.001088 | val_loss_vector=0.329617 | val_loss_aolp=1.221564 | val_loss_lowfreq=0.329816 | val_loss_edge=0.590157 | val_mean_aolp_reliability=0.272024
epoch 50/80 | train_loss=0.565451 | train_loss_dolp=0.000821 | train_loss_vector=0.154106 | train_loss_aolp=0.673410 | train_loss_lowfreq=0.228869 | train_loss_edge=0.560911 | train_mean_aolp_reliability=0.265525 | val_loss=1.055311 | val_loss_dolp=0.001110 | val_loss_vector=0.337061 | val_loss_aolp=1.243762 | val_loss_lowfreq=0.328227 | val_loss_edge=0.592277 | val_mean_aolp_reliability=0.272024
epoch 51/80 | train_loss=0.565720 | train_loss_dolp=0.000825 | train_loss_vector=0.154196 | train_loss_aolp=0.673738 | train_loss_lowfreq=0.228925 | train_loss_edge=0.560912 | train_mean_aolp_reliability=0.265525 | val_loss=1.011576 | val_loss_dolp=0.001084 | val_loss_vector=0.319686 | val_loss_aolp=1.192246 | val_loss_lowfreq=0.326217 | val_loss_edge=0.588797 | val_mean_aolp_reliability=0.272024
epoch 52/80 | train_loss=0.565436 | train_loss_dolp=0.000820 | train_loss_vector=0.154103 | train_loss_aolp=0.673429 | train_loss_lowfreq=0.228766 | train_loss_edge=0.560910 | train_mean_aolp_reliability=0.265525 | val_loss=1.023989 | val_loss_dolp=0.001078 | val_loss_vector=0.324417 | val_loss_aolp=1.206059 | val_loss_lowfreq=0.329983 | val_loss_edge=0.589369 | val_mean_aolp_reliability=0.272024
epoch 53/80 | train_loss=0.565096 | train_loss_dolp=0.000817 | train_loss_vector=0.153986 | train_loss_aolp=0.673066 | train_loss_lowfreq=0.228571 | train_loss_edge=0.560911 | train_mean_aolp_reliability=0.265525 | val_loss=1.088230 | val_loss_dolp=0.001201 | val_loss_vector=0.349740 | val_loss_aolp=1.280087 | val_loss_lowfreq=0.337863 | val_loss_edge=0.593460 | val_mean_aolp_reliability=0.272024
epoch 54/80 | train_loss=0.564748 | train_loss_dolp=0.000815 | train_loss_vector=0.153855 | train_loss_aolp=0.672636 | train_loss_lowfreq=0.228579 | train_loss_edge=0.560887 | train_mean_aolp_reliability=0.265525 | val_loss=1.019735 | val_loss_dolp=0.001094 | val_loss_vector=0.323340 | val_loss_aolp=1.201803 | val_loss_lowfreq=0.324404 | val_loss_edge=0.590377 | val_mean_aolp_reliability=0.272024
epoch 55/80 | train_loss=0.565222 | train_loss_dolp=0.000814 | train_loss_vector=0.154029 | train_loss_aolp=0.673287 | train_loss_lowfreq=0.228458 | train_loss_edge=0.560895 | train_mean_aolp_reliability=0.265525 | val_loss=1.022292 | val_loss_dolp=0.001130 | val_loss_vector=0.323981 | val_loss_aolp=1.204594 | val_loss_lowfreq=0.326900 | val_loss_edge=0.590082 | val_mean_aolp_reliability=0.272024
epoch 56/80 | train_loss=0.564727 | train_loss_dolp=0.000813 | train_loss_vector=0.153851 | train_loss_aolp=0.672684 | train_loss_lowfreq=0.228384 | train_loss_edge=0.560897 | train_mean_aolp_reliability=0.265525 | val_loss=1.061395 | val_loss_dolp=0.001104 | val_loss_vector=0.339273 | val_loss_aolp=1.249866 | val_loss_lowfreq=0.332649 | val_loss_edge=0.591106 | val_mean_aolp_reliability=0.272024
epoch 57/80 | train_loss=0.564150 | train_loss_dolp=0.000807 | train_loss_vector=0.153651 | train_loss_aolp=0.672017 | train_loss_lowfreq=0.228196 | train_loss_edge=0.560881 | train_mean_aolp_reliability=0.265525 | val_loss=1.037932 | val_loss_dolp=0.001096 | val_loss_vector=0.329983 | val_loss_aolp=1.222334 | val_loss_lowfreq=0.330845 | val_loss_edge=0.590344 | val_mean_aolp_reliability=0.272024
epoch 58/80 | train_loss=0.564555 | train_loss_dolp=0.000807 | train_loss_vector=0.153803 | train_loss_aolp=0.672559 | train_loss_lowfreq=0.228107 | train_loss_edge=0.560888 | train_mean_aolp_reliability=0.265525 | val_loss=1.034197 | val_loss_dolp=0.001066 | val_loss_vector=0.328696 | val_loss_aolp=1.219043 | val_loss_lowfreq=0.326804 | val_loss_edge=0.591059 | val_mean_aolp_reliability=0.272024
epoch 59/80 | train_loss=0.564853 | train_loss_dolp=0.000807 | train_loss_vector=0.153908 | train_loss_aolp=0.672927 | train_loss_lowfreq=0.228152 | train_loss_edge=0.560889 | train_mean_aolp_reliability=0.265525 | val_loss=1.036555 | val_loss_dolp=0.001056 | val_loss_vector=0.329198 | val_loss_aolp=1.219762 | val_loss_lowfreq=0.334700 | val_loss_edge=0.589592 | val_mean_aolp_reliability=0.272024
epoch 60/80 | train_loss=0.565286 | train_loss_dolp=0.000809 | train_loss_vector=0.154066 | train_loss_aolp=0.673465 | train_loss_lowfreq=0.228177 | train_loss_edge=0.560874 | train_mean_aolp_reliability=0.265525 | val_loss=1.038346 | val_loss_dolp=0.001133 | val_loss_vector=0.330527 | val_loss_aolp=1.224447 | val_loss_lowfreq=0.324389 | val_loss_edge=0.591684 | val_mean_aolp_reliability=0.272024
epoch 61/80 | train_loss=0.563987 | train_loss_dolp=0.000802 | train_loss_vector=0.153591 | train_loss_aolp=0.671919 | train_loss_lowfreq=0.227956 | train_loss_edge=0.560875 | train_mean_aolp_reliability=0.265525 | val_loss=1.050746 | val_loss_dolp=0.001074 | val_loss_vector=0.335081 | val_loss_aolp=1.237526 | val_loss_lowfreq=0.331173 | val_loss_edge=0.591855 | val_mean_aolp_reliability=0.272024
